Year,Mean_Price,Trend_Value
1738,1.19,
1739,0.97,
1740,0.91,
1741,1.32,
1742,1.39,
1743,1.45,
1744,1.4,
1745,1.16,
1746,1.41,
1747,1.47,
1748,1.58,
1749,1.58,
1750,1.29,
1751,1.43,
1752,1.79,
1753,1.71,
1754,1.87,
1755,1.9,
1756,1.43,
1757,1.53,
1758,1.78,
1759,1.97,
1760,1.43,
1761,1.33,
1762,1.22,
1763,1.31,
1764,1.66,
1765,1.65,
1766,1.52,
1767,1.5,
1768,1.47,
1769,1.55,
1770,1.62,
1771,1.65,
1772,1.78,
1773,1.65,
1774,1.63,
1775,1.63,
1776,1.49,
1777,1.43,
1778,1.32,
1779,1.37,
1780,1.36,
1781,1.66,
1782,1.79,
1783,1.75,
1784,1.65,
1785,1.58,
1786,1.55,
1787,1.59,
1788,2.46,
1789,2.16,
1790,1.9,
1791,1.62,
1792,1.57,
1793,1.67,
1794,1.68,
1795,2.02,
1796,1.83,
1797,1.75,
1798,1.96,
1799,1.87,
1800,1.86,
1801,1.75,
1802,1.66,
1803,1.67,
1804,1.75,
1805,1.84,
1806,1.84,
1807,1.84,
1808,2.44,
1809,2.43,
1810,2.4,
1811,2.54,
1812,2.33,
1813,1.93,
1814,2.07,
1815,2.68,
1816,2.85,
1817,2.28,
1818,1.92,
1819,1.56,
1820,1.74,
1821,2.09,
1822,1.99,
1823,1.95,
1824,2.37,
1825,2.34,
1826,2.6,
1827,2.51,
1828,1.88,
1829,1.85,
1830,2.14,
1831,2.14,
1832,2.38,
1833,2.9,
1834,3.07,
1835,2.94,
1836,2.95,
1837,2.95,
1838,2.23,
