year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Set,Oct,Nov,Dec
1747,,,,,,1.5,1.3,,,1.25,,1.45, 
1748,1.55,1.2,,1.7,1.55,,,1.76,1.92,1.8,1.84,
1749,,,,,2.0,1.65,,1.35,,,,,
1751,1.35,,,,,1.3,1.35,1.35,1.425,1.45,,1.35,
1752,1.25,,2.35,1.9,,,,,1.775,,,1.65,
1753,,,,,1.85,,1.65,,,,1.6,1.25,
1754,,,,,,1.65,,,2.25,2.0,2.45,2.2,
1755,,2.6,2.35,2.4,2.05,2.25,1.6,1.55,1.6,1.65,1.7,,
1756,,1.3,1.6,1.4,,,1.35,1.3,1.225,,,,
1763,,,1.35,,1.3,,,,,,,1.32,
1764,,1.6,1.8,1.75,,1.65,,1.7,,1.625,1.75,,
1765,1.7,,,1.55,1.65,1.65,1.6,,,1.65,1.4,,
1767,,,,,,,1.5,,1.45,1.45,1.525,,
1774,,,,1.5,,1.45,,,,1.45,,,
1777,,,,,1.4,,1.45,,,,,1.4,,
1778,,,,,1.35,,1.3,,,1.35,1.3,,

